100   solvable     steps=45    states=338      0.02s 
101   timeout      steps=-     states=48557    6.00s 
102   timeout      steps=-     states=46844    6.00s 
103   timeout      steps=-     states=34242    6.00s 
104   timeout      steps=-     states=21711    6.00s 
105   timeout      steps=-     states=34094    6.00s 
106   timeout      steps=-     states=34789    6.00s 
107   unsolvable   steps=-     states=1        0.00s 
108   timeout      steps=-     states=27696    6.00s 
109   timeout      steps=-     states=13405    6.00s 
10    timeout      steps=-     states=37727    6.00s 
110   unsolvable   steps=-     states=1        0.00s 
111   timeout      steps=-     states=23466    6.00s 
112   timeout      steps=-     states=14837    6.00s 
113   timeout      steps=-     states=41531    6.00s 
114   timeout      steps=-     states=28285    6.00s 
115   timeout      steps=-     states=34159    6.00s 
116   unsolvable   steps=-     states=1        0.00s 
117   timeout      steps=-     states=17063    6.00s 
118   timeout      steps=-     states=39854    6.00s 
119   timeout      steps=-     states=26489    6.00s 
11    timeout      steps=-     states=72867    6.00s 
120   not-modeled  steps=-     states=0        0.00s bombSecs
121   not-modeled  steps=-     states=0        0.00s bombSecs
122   not-modeled  steps=-     states=0        0.00s bombSecs
123   timeout      steps=-     states=52012    6.00s 
124   not-modeled  steps=-     states=0        0.00s bombSecs
125   timeout      steps=-     states=34559    6.00s 
126   not-modeled  steps=-     states=0        0.00s bombSecs
127   timeout      steps=-     states=44652    6.00s 
128   timeout      steps=-     states=30145    6.00s 
129   unsolvable   steps=-     states=1        0.00s 
12    timeout      steps=-     states=75264    6.00s 
130   not-modeled  steps=-     states=0        0.00s bombSecs
131   timeout      steps=-     states=39515    6.00s 
132   timeout      steps=-     states=20056    6.00s 
133   not-modeled  steps=-     states=0        0.00s bombSecs
134   timeout      steps=-     states=13293    6.00s 
135   unsolvable   steps=-     states=1        0.00s 
136   timeout      steps=-     states=13554    6.00s 
137   timeout      steps=-     states=26655    6.00s 
138   unsolvable   steps=-     states=1        0.00s 
139   timeout      steps=-     states=32665    6.00s 
13    timeout      steps=-     states=52976    6.00s 
140   timeout      steps=-     states=15755    6.00s 
141   unsolvable   steps=-     states=1        0.00s 
142   timeout      steps=-     states=17672    6.00s 
143   timeout      steps=-     states=29762    6.00s 
144   unsolvable   steps=-     states=1        0.00s 
145   not-modeled  steps=-     states=0        0.00s bombSecs
146   timeout      steps=-     states=18031    6.00s 
147   timeout      steps=-     states=15660    6.00s 
148   timeout      steps=-     states=24576    6.00s 
149   timeout      steps=-     states=22935    6.00s 
14    timeout      steps=-     states=44572    6.00s 
